,"Type","Date","Num","Memo","Name","Qty","Sales Price","Amount","Balance"
"Inventory",,,,,,,,,""
"00-Beer & Spirits",,,,,,,,,""
"00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,,,,""
,"Invoice","04/29/2014","51426","Da Vinci, Amaretto Regency","Veneto Trattoria",2,6.96,13.92,13.92
,"Invoice","12/02/2014","54994","Da Vinci, Amaretto Regency","Veneto Trattoria",6,6.96,41.76,55.68
,"Invoice","05/01/2015","57933","Da Vinci, Amaretto Regency","Re-Use Invoice",0,6.96,0.00,55.68
,"Invoice","10/27/2016","68533","Da Vinci, Amaretto Regency","Moscato Italian Restaurant",26,6.99,181.74,237.42
"Total 00101LAI - P3 Amarett Da Vinci (Da Vinci, Amaretto Regency)",,,,,,34,,237.42,237.42
"00103LAI - Q3 Vdka Sen. Club (Senator's Club Vodka)",,,,,,,,,""
,"Invoice","01/16/2015","55878","Senator's Club Vodka (CL)","Mattas Grill and Cantina",12,2.99,35.88,35.88
"Total 00103LAI - Q3 Vdka Sen. Club (Senator's Club Vodka)",,,,,,12,,35.88,35.88
"00141LAI- TS A Brandy100 Laird (Laird Appple Brandy, 100 proof (Tucson Storage))",,,,,,,,,""
,"Invoice","02/04/2014","49766","Laird Appple Brandy, 100 proof (Tucson Storage)","Nox",3,21.99,65.97,65.97
,"Invoice","02/20/2014","50127","Laird Appple Brandy, 100 proof (Tucson Storage)","Wilko Market",1,21.99,21.99,87.96
,"Invoice","03/06/2014","50372","Laird Appple Brandy, 100 proof (Tucson Storage)","47 Scott",8,21.99,175.92,263.88
"Total 00141LAI- TS A Brandy100 Laird (Laird Appple Brandy, 100 proof (Tucson Storage))",,,,,,12,,263.88,263.88
"00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",,,,,,,,,""
,"Invoice","01/08/2014","49205","Laird Apple Brandy, 100 proof","AJ's Fine Foods #61-Val Vista/Mesa",1,20.49,20.49,20.49
,"Invoice","01/08/2014","49206","Laird Apple Brandy, 100 proof","Top's Liquors",1,21.99,21.99,42.48
,"Invoice","01/09/2014","49237","Laird Apple Brandy, 100 proof","47 Scott",12,21.99,263.88,306.36
,"Invoice","01/24/2014","49547","Laird Apple Brandy, 100 proof","AJ's Fine Foods #118-Thompson Peak",1,21.99,21.99,328.35
,"Invoice","01/31/2014","49700","Laird Apple Brandy, 100 proof","Rum Runner",6,21.99,131.94,460.29
,"Invoice","02/13/2014","49969","Laird Apple Brandy, 100 proof","47 Scott",12,21.99,263.88,724.17
,"Invoice","02/13/2014","49973","Laird Apple Brandy, 100 proof","Plaza Liquors",3,21.99,65.97,790.14
,"Invoice","02/19/2014","50092","Laird Apple Brandy, 100 proof","AJ's Fine Foods #61-Val Vista/Mesa",2,21.99,43.98,834.12
,"Invoice","02/28/2014","50271","Laird Apple Brandy, 100 proof","Wilko Market",1,21.99,21.99,856.11
,"Invoice","03/06/2014","50346","Laird Apple Brandy, 100 proof","Reilly Craft Pizza + Drink",12,21.99,263.88,1119.99
,"Invoice","03/06/2014","50372","Laird Apple Brandy, 100 proof","47 Scott",1,21.99,21.99,1141.98
"Total 00141LAI - K3 ABrandy100 Laird (Laird Apple Brandy, 100 proof)",,,,,,52,,1141.98,1141.98
"00143LAI - J3 Appljack 80 Laird (Laird Applejack 80)",,,,,,,,,""
,"Invoice","02/05/2014","49777","Laird Applejack 80","AJ's Fine Foods #87-Ray",2,15.99,31.98,31.98
,"Invoice","02/19/2014","50092","Laird Applejack 80","AJ's Fine Foods #61-Val Vista/Mesa",2,15.99,31.98,63.96
,"Invoice","02/21/2014","50118","Laird Applejack 80","AJ's Fine Foods #90-Lone Mtn",1,15.99,15.99,79.95
,"Invoice","03/19/2014","50644","Laird Applejack 80","Sun Devil Liquor",1,15.99,15.99,95.94
,"Invoice","04/03/2014","50953","Laird Applejack 80","AJ's Fine Foods #159-Camelback",3,15.99,47.97,143.91
,"Invoice","04/10/2014","51076","Laird Applejack 80","Plaza Liquors",4,15.99,63.96,207.87
,"Invoice","04/16/2014","51169","Laird Applejack 80","AJ's Fine Foods #61-Val Vista/Mesa",3,15.99,47.97,255.84
,"Invoice","04/25/2014","51371","Laird Applejack 80","Virtu",1,15.99,15.99,271.83
,"Invoice","05/13/2014","51705","Laird Applejack 80","Top's Liquors",3,15.99,47.97,319.80
,"Invoice","07/10/2014","52580","Laird Applejack 80","Plaza Liquors",3,15.99,47.97,367.77
,"Invoice","08/07/2014","52985","Laird Applejack 80","AJ's Fine Foods #122-Tucson",0,15.99,0.00,367.77
,"Invoice","08/22/2014","53258","Laird Applejack 80","Samples James",1,0.00,0.00,367.77
,"Invoice","10/02/2014","53886","Laird Applejack 80","AJ's Fine Foods #122-Tucson",0,15.99,0.00,367.77
,"Invoice","11/12/2014","54605","Laird Applejack 80","AJ's Fine Foods #87-Ray",0,15.99,0.00,367.77
,"Invoice","11/12/2014","54628","Laird Applejack 80","AJ's Fine Foods #118-Thompson Peak",0,15.99,0.00,367.77
,"Invoice","11/19/2014","54615","Laird Applejack 80","Quick N Shine Carwash",2,15.99,31.98,399.75
,"Invoice","11/25/2014","54901","Laird Applejack 80","AJ's Fine Foods #61-Val Vista/Mesa",3,15.99,47.97,447.72
