,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
"Inventory",,,,,,,,,,""
"00102 C3 (Liquore Amaro San Marzano, Borsci)",,,,,,,,,,""
,"Invoice","02/11/2021","97223","Liquore Amaro San Marzano, Borsci","Virtu","00102 C3 (Liquore Amaro San Marzano, Borsci)",2,24.00,48.00,48.00
,"Invoice","02/17/2021","97316","Liquore Amaro San Marzano, Borsci","Fat Ox","00102 C3 (Liquore Amaro San Marzano, Borsci)",9,24.00,216.00,264.00
,"Invoice","03/23/2021","98165","Liquore Amaro San Marzano, Borsci","Fat Ox","00102 C3 (Liquore Amaro San Marzano, Borsci)",12,24.00,288.00,552.00
"Total 00102 C3 (Liquore Amaro San Marzano, Borsci)",,,,,,,23,,552.00,552.00
"00106 S1 (Menabrea, Microbrew Ambrata)",,,,,,,,,,""
,"Invoice","01/05/2021","96432","Menabrea, Microbrew Ambrata","Marcellino","00106 S1 (Menabrea, Microbrew Ambrata)",48,2.50,120.00,120.00
,"Invoice","01/05/2021","96444","Menabrea, Microbrew Ambrata","Alessia's Ristorante Italiano","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,180.00
,"Invoice","01/05/2021","96449","Menabrea, Microbrew Ambrata","Fat Ox","00106 S1 (Menabrea, Microbrew Ambrata)",48,2.50,120.00,300.00
,"Invoice","01/05/2021","96450","Menabrea, Microbrew Ambrata","Giuseppe's on 28th","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,360.00
,"Invoice","01/06/2021","96463","Menabrea, Microbrew Ambrata","La Piazza Al Forno","00106 S1 (Menabrea, Microbrew Ambrata)",48,2.50,120.00,480.00
,"Invoice","01/06/2021","96484","Menabrea, Microbrew Ambrata","Pizzeria Virtu","00106 S1 (Menabrea, Microbrew Ambrata)",48,2.50,120.00,600.00
,"Invoice","01/12/2021","96549","Menabrea, Microbrew Ambrata","Aiello's","00106 S1 (Menabrea, Microbrew Ambrata)",6,2.00,12.00,612.00
,"Invoice","01/12/2021","96558","Menabrea, Microbrew Ambrata","Timo","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,672.00
,"Invoice","01/13/2021","96627","Menabrea, Microbrew Ambrata","Marcellino","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,732.00
,"Invoice","01/14/2021","96635","Menabrea, Microbrew Ambrata","Samples Kevin","00106 S1 (Menabrea, Microbrew Ambrata)",1,0.00,0.00,732.00
,"Invoice","01/18/2021","96686","Menabrea, Microbrew Ambrata","IL Bosco","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,792.00
,"Invoice","01/19/2021","96728","Menabrea, Microbrew Ambrata","Pizzeria Bianco Camelback","00106 S1 (Menabrea, Microbrew Ambrata)",48,2.50,120.00,912.00
,"Invoice","01/19/2021","96731","Menabrea, Microbrew Ambrata","Samples Greg","00106 S1 (Menabrea, Microbrew Ambrata)",2,0.00,0.00,912.00
,"Invoice","01/27/2021","96887","Menabrea, Microbrew Ambrata","Pizzeria Virtu","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,972.00
,"Invoice","01/28/2021","96890","Menabrea, Microbrew Ambrata","Pizzicata","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1032.00
,"Invoice","01/28/2021","96893","Menabrea, Microbrew Ambrata","AJ's Fine Foods #75-Pima","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1092.00
,"Invoice","01/28/2021","96902","Menabrea, Microbrew Ambrata","IL Bosco Phoenix","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1152.00
,"Invoice","02/01/2021","96931","Menabrea, Microbrew Ambrata","Virtu","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1212.00
,"Invoice","02/02/2021","96984","Menabrea, Microbrew Ambrata","Alberto's","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1272.00
,"Invoice","02/03/2021","96992","Menabrea, Microbrew Ambrata","IL Bosco","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1332.00
,"Invoice","02/04/2021","97043","Menabrea, Microbrew Ambrata","Papas- Prescott","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1392.00
,"Invoice","02/09/2021","97141","Menabrea, Microbrew Ambrata","AJ's Fine Foods #87-Ray","00106 S1 (Menabrea, Microbrew Ambrata)",24,2.50,60.00,1452.00
