item_code,quantity,avg_price,date,min_temp,max_temp,log_quantity,month,sma4,time_idx,group_ids
20209,168.0,6.99,2017-12-01,36,84,5.123964,12,,0,1
50215,453.0,9.898158,2017-12-01,36,84,6.115892,12,,0,3
70165,808.0,9.823333,2017-12-01,36,84,6.694562,12,,0,2
70208,664.0,10.666764,2017-12-01,36,84,6.498282,12,,0,4
70270,56.0,3.25,2017-12-01,36,84,4.0253515,12,,0,0
70271,100.0,8.6175,2017-12-01,36,84,4.6051702,12,,0,5
20209,404.0,6.99,2018-01-01,40.0,83.0,6.001415,1,,1,1
50215,429.0,9.588064,2018-01-01,40.0,83.0,6.061457,1,,1,3
70165,480.0,9.847142,2018-01-01,40.0,83.0,6.173786,1,,1,2
70208,164.0,10.99,2018-01-01,40.0,83.0,5.0998664,1,,1,4
70270,277.0,3.25,2018-01-01,40.0,83.0,5.6240177,1,,1,0
70271,85.0,6.993,2018-01-01,40.0,83.0,4.4426513,1,,1,5
20209,391.0,6.99,2018-02-01,39.0,84.0,5.9687076,2,,2,1
50215,417.0,9.936486,2018-02-01,39.0,84.0,6.0330863,2,,2,3
70165,486.0,9.74862,2018-02-01,39.0,84.0,6.1862087,2,,2,2
70208,188.0,10.99,2018-02-01,39.0,84.0,5.236442,2,,2,4
70270,423.0,3.25,2018-02-01,39.0,84.0,6.0473723,2,,2,0
70271,52.0,9.99,2018-02-01,39.0,84.0,3.9512436,2,,2,5
20209,658.0,6.99,2018-03-01,44.0,92.0,6.489205,3,405.25,3,1
50215,771.0,9.641163,2018-03-01,44.0,92.0,6.6476884,3,517.5,3,3
70165,556.0,9.69,2018-03-01,44.0,92.0,6.3207684,3,582.5,3,2
70208,419.0,10.99,2018-03-01,44.0,92.0,6.037871,3,358.75,3,4
70270,816.0,3.27,2018-03-01,44.0,92.0,6.7044144,3,393.0,3,0
70271,84.0,9.99,2018-03-01,44.0,92.0,4.4308167,3,80.25,3,5
20209,629.0,7.1512,2018-04-01,54.0,100.0,6.4441314,4,520.5,4,1
50215,472.0,10.25325,2018-04-01,54.0,100.0,6.156979,4,522.25,4,3
70165,447.0,9.694074,2018-04-01,54.0,100.0,6.1025586,4,492.25,4,2
70208,237.0,11.578235,2018-04-01,54.0,100.0,5.46806,4,252.0,4,4
70270,708.0,3.4031034,2018-04-01,54.0,100.0,6.562444,4,556.0,4,0
70271,118.0,10.171818,2018-04-01,54.0,100.0,4.7706847,4,84.75,4,5
20209,696.0,7.1073074,2018-05-01,58,106,6.5453496,5,593.5,5,1
50215,310.0,10.491667,2018-05-01,58,106,5.7365723,5,492.5,5,3
70165,607.0,9.15325,2018-05-01,58,106,6.408529,5,524.0,5,2
70208,195.0,11.99,2018-05-01,58,106,5.273,5,259.75,5,4
70270,636.0,3.3322222,2018-05-01,58,106,6.455199,5,645.75,5,0
70271,161.0,10.066923,2018-05-01,58,106,5.081404,5,103.75,5,5
20209,660.0,7.2469997,2018-06-01,73,111,6.49224,6,660.75,6,1
50215,246.0,9.6405,2018-06-01,73,111,5.5053315,6,449.75,6,3
70165,371.0,9.383214,2018-06-01,73,111,5.916202,6,495.25,6,2
70208,165.0,11.99,2018-06-01,73,111,5.1059456,6,254.0,6,4
70270,870.0,3.41,2018-06-01,73,111,6.768493,6,757.5,6,0
70271,243.0,9.99,2018-06-01,73,111,5.4930615,6,151.5,6,5
20209,484.0,7.10025,2018-07-01,74,116,6.182085,7,617.25,7,1
50215,320.0,10.634286,2018-07-01,74,116,5.768321,7,337.0,7,3
70165,252.0,9.878889,2018-07-01,74,116,5.529429,7,419.25,7,2
70208,162.0,11.99,2018-07-01,74,116,5.0875964,7,189.75,7,4
70270,528.0,3.324,2018-07-01,74,116,6.2690964,7,685.5,7,0
70271,81.0,9.99,2018-07-01,74,116,4.394449,7,150.75,7,5
20209,718.0,7.0960345,2018-08-01,72,114,6.5764694,8,639.5,8,1
50215,345.0,10.729524,2018-08-01,72,114,5.8435445,8,305.25,8,3
70165,404.0,9.456552,2018-08-01,72,114,6.001415,8,408.5,8,2
70208,151.0,11.99,2018-08-01,72,114,5.0172796,8,168.25,8,4
70270,838.0,3.4776924,2018-08-01,72,114,6.731018,8,718.0,8,0
70271,132.0,9.190666,2018-08-01,72,114,4.882802,8,154.25,8,5
20209,564.0,7.0945454,2018-09-01,73,109,6.3350544,9,606.5,9,1
50215,880.0,10.106999,2018-09-01,73,109,6.779922,9,447.75,9,3
70165,337.0,9.74,2018-09-01,73,109,5.820083,9,341.0,9,2
